id,YEAR,NI,STOPS,NETWORK,LABOREXP,STAFF,ELECEXP,KWH,TOTCOST,NARROW_T,RACK,TUNNEL,T,Q1,Q2,Q3,CT,PL,PE,PK,VIRAGE,LABOR,ELEC,CAPITAL,LNCT,LNQ1,LNQ2,LNQ3,LNNET,LNPL,LNPE,LNPK,LNSTOP,LNCAP,RAILROAD 
2,91,13,16,27024,3829,49,237,2209,6820,1,0,0,6,411000,9064000,13610,8187.275,93808.95,0.1287976,4091.736,1,56.1437,3.475073,40.38123,11.05985,12.92635,16.01982,9.51856,3.296725,13.49853,-2.049513,10.36624,2.772589,3.251079,2
2,92,13,17,27024,4192,51,254,2357,7229,1,0,0,7,433000,9130000,11849,8104.26,92148.07,0.1208118,3929.415,1,57.98866,3.513626,38.49772,11.11367,12.97849,16.02708,9.379999,3.296725,13.54467,-2.113522,10.38977,2.833213,3.251079,2
2,93,13,17,27024,4299,50,262,2279,7115,1,0,0,8,419000,10600000,12556,7634.12,92253.22,0.1233505,3586.837,1,60.42165,3.682361,35.89599,11.03311,12.94563,16.17249,9.437954,3.296725,13.52502,-2.092725,10.27775,2.833213,3.251079,2
2,94,13,17,27024,4220,49,285,2337,6911,1,0,0,9,431000,10100000,12090,7161.658,89246.06,0.1263743,3541.569,1,61.06208,4.12386,34.81406,10.945,12.97386,16.12775,9.400134,3.296725,13.46766,-2.068507,10.24083,2.833213,3.251079,2
2,95,13,17,27024,4076,48,255,2086,7433,1,0,0,10,428000,9875000,9598,7631.417,87183.44,0.1255067,4523.871,1,54.83654,3.430647,41.73281,11.01542,12.96688,16.10552,9.16931,3.296725,13.45117,-2.075396,10.49252,2.833213,3.251079,2
2,96,13,17,27024,4261,46,302,2347,7284,1,0,0,11,428000,9817000,9875,7342.742,93377.45,0.1297126,3896.227,1,58.49808,4.146074,37.35585,10.9439,12.96688,16.09963,9.197762,3.296725,13.48684,-2.042434,10.3102,2.833213,3.251079,2
2,97,13,17,27024,4291,49,300,2343,7157,1,0,0,12,429000,10100000,8622,7157,87571.43,0.128041,3644.886,1,59.95529,4.1917,35.85301,10.93125,12.96921,16.12914,9.062073,3.296725,13.43561,-2.055405,10.25648,2.833213,3.251079,2
3,85,13,19,29658,2894,51,181,1575,6237,1,0,0,0,361000,7122000,846343,9281.25,84442.11,0.1710128,4860.906,1,46.40051,2.902036,50.69745,10.90177,12.79663,15.7787,13.64868,3.389732,13.10984,-1.766017,10.255,2.944439,3.091043,3
3,86,13,20,29658,2914,51,179,1495,6261,1,0,0,1,372000,7096000,877737,8868.272,80930.96,0.1695927,4635.591,1,46.54209,2.858968,50.59895,10.86459,12.82665,15.77504,13.6851,3.389732,13.07571,-1.774356,10.21587,2.995732,3.091043,3
3,87,13,20,29658,2920,49,184,1578,6280,1,0,0,2,407000,8472000,767187,8795.519,83461.96,0.1633099,4595.227,1,46.49681,2.929936,50.57325,10.8941,12.91657,15.95228,13.55049,3.389732,13.14425,-1.812105,10.24488,2.995732,3.091043,3
3,88,13,20,29658,2957,48,205,1644,6457,1,0,0,3,430000,8579000,871864,8869.506,84621.11,0.1712855,4675.722,1,45.79526,3.174849,51.02989,10.8548,12.97154,15.96483,13.67839,3.389732,13.11036,-1.764423,10.21456,2.995732,3.091043,3
3,89,13,20,29658,3131,48,209,1644,6436,1,0,0,4,412000,8775000,721269,8615.797,87321.51,0.170186,3816.371,1,48.64823,3.247359,48.10441,10.83222,12.92878,15.98742,13.48877,3.389732,13.14822,-1.770863,10.01792,2.995732,3.091043,3
3,90,13,20,29658,3555,50,219,1725,7322,1,0,0,5,418000,9909000,866583,9399.229,91270.86,0.1629737,4375.175,1,48.55231,2.990986,48.45671,10.96255,12.94324,16.10895,13.67231,3.389732,13.23575,-1.814166,10.19787,2.995732,3.091043,3
3,91,13,20,29658,3842,51,220,1720,7888,1,0,0,6,422000,10000000,783715,9469.388,90436.17,0.1535498,4412.14,1,48.7069,2.789047,48.50406,11.02955,12.95276,16.11939,13.5718,3.389732,13.28613,-1.87373,10.26585,2.995732,3.091043,3
3,92,13,20,29658,3971,51,241,1720,7675,1,0,0,7,422000,9190000,788147,8604.26,87290.07,0.157081,3729.382,1,51.73941,3.140065,45.12052,10.91101,12.95276,16.03363,13.57744,3.389732,13.22799,-1.850994,10.07499,2.995732,3.091043,3
3,93,13,20,29658,4010,51,274,1793,7550,1,0,0,8,418000,8744000,675348,8100.858,84364.22,0.1639662,3366.275,1,53.11258,3.629139,43.25828,10.80782,12.94324,15.98388,13.42298,3.389732,13.15099,-1.808095,9.929657,2.995732,3.091043,3
3,94,13,20,29658,3922,50,269,1716,7631,1,0,0,9,414000,8283000,685156,7907.772,81284.98,0.1624455,3579.083,1,51.39562,3.525095,45.07928,10.79301,12.93362,15.92972,13.4374,3.389732,13.12313,-1.817413,10.00027,2.995732,3.091043,3
3,95,13,21,29658,3729,47,324,1876,7938,1,0,0,10,414000,6067000,684881,8149.897,81458.34,0.1773182,4004.725,1,46.97657,4.081633,48.9418,10.73557,12.93362,15.61837,13.437,3.389732,13.03766,-1.72981,10.02504,3.044523,3.091043,3
3,96,13,21,29658,3625,46,345,2068,8696,1,0,0,11,418000,5959000,1134905,8766.129,79439.87,0.1681732,4783.246,1,41.68583,3.967341,54.34682,10.86141,12.94324,15.60041,13.94206,3.389732,13.06552,-1.782761,10.25564,3.044523,3.091043,3
3,97,13,21,29658,3823,45,358,2001,8340,1,0,0,12,420000,5813000,1000179,8340,84955.55,0.1789105,4175.703,1,45.83933,4.292566,49.86811,10.74969,12.94801,15.57561,13.81569,3.389732,13.07075,-1.720869,10.05791,3.044523,3.091043,3
4,85,13,19,22820,2106,37,184,1827,4580,1,0,0,0,348000,12600000,1881480,6815.476,84700.77,0.1498684,2963.25,1,45.98253,4.017467,50,10.72495,12.75996,16.34929,14.44757,3.127637,13.24488,-1.897998,9.89204,2.944439,3.436915,4
4,86,13,19,22820,2271,39,203,2161,4921,1,0,0,1,347000,13700000,2256255,6970.255,82479.84,0.1330567,3150.914,1,46.14916,4.125178,49.72566,10.86639,12.75708,16.42932,14.62922,3.127637,13.33729,-2.01698,10.07243,2.944439,3.436915,4
4,87,13,19,22820,2407,42,221,2148,5251,1,0,0,2,408000,14100000,2135829,7354.342,80265.44,0.1440986,3339.699,1,45.83889,4.208722,49.95239,10.8403,12.91902,16.46183,14.57437,3.127637,13.23035,-1.937257,10.05089,2.944439,3.436915,4
4,88,13,19,22820,2542,40,226,2168,5407,1,0,0,3,430000,15000000,2361393,7427.198,87293.96,0.1431917,3295.455,1,47.01313,4.179767,48.8071,10.85647,12.97154,16.52416,14.67476,3.127637,13.32061,-1.943571,10.04387,2.944439,3.436915,4
4,89,13,19,22820,2697,40,223,2152,6554,1,0,0,4,435000,15800000,2396923,8773.762,90261.05,0.1387209,4252.441,1,41.15044,3.402502,55.44705,11.05481,12.9831,16.57558,14.6897,3.127637,13.38575,-1.975291,10.33054,2.944439,3.436915,4
4,90,13,19,22820,3100,42,229,2212,6578,1,0,0,5,445000,16000000,2559017,8444.159,94749.07,0.1328963,3664.966,1,47.12679,3.481301,49.39191,11.05942,13.00583,16.58591,14.75513,3.127637,13.47717,-2.018186,10.22476,2.944439,3.436915,4
4,91,13,19,22820,3418,43,240,2259,7267,1,0,0,6,457000,16300000,2486903,8723.89,95424.22,0.1275411,2992.081,1,47.03454,3.302601,49.66286,11.13314,13.03244,16.60741,14.72655,3.127637,13.5254,-2.059317,10.06304,2.944439,3.436915,4
4,92,13,19,22820,3678,44,243,2154,8120,1,0,0,7,455000,16100000,2361913,9103.139,93711.78,0.1264724,3142.456,1,45.29557,2.992611,51.71182,11.18411,13.02805,16.59352,14.67498,3.127637,13.51571,-2.067731,10.12049,2.944439,3.436915,4
4,93,13,19,22820,3776,44,243,2154,7868,1,0,0,8,459000,16200000,2426877,8442.061,92079.59,0.1210444,2756.895,1,47.99187,3.088459,48.91967,11.15258,13.03681,16.60077,14.70212,3.127637,13.54201,-2.111598,10.03346,2.944439,3.436915,4
4,94,13,19,22820,3839,43,301,2273,8133,1,0,0,9,459000,16500000,2211109,8427.979,92517.17,0.1372271,2762.232,1,47.20275,3.700971,49.09628,11.02543,13.03681,16.61596,14.609,3.127637,13.42127,-1.986118,9.909912,2.944439,3.436915,4
4,95,13,19,23170,3918,42,366,2599,8151,1,0,0,10,466000,15200000,2369988,8368.583,95775.89,0.1445825,2650.351,1,48.06772,4.490247,47.44203,10.96614,13.05194,16.53858,14.6784,3.142858,13.40367,-1.933905,9.816352,2.944439,3.436915,4
4,96,13,19,23170,3816,40,408,2761,9744,1,0,0,11,481000,15600000,2501607,9822.581,96169.36,0.1489643,3714.63,1,39.16256,4.187192,56.65025,11.09649,13.08362,16.56131,14.73244,3.142858,13.37792,-1.904049,10.12408,2.944439,3.436915,4
4,97,13,19,23170,3892,40,383,2665,9726,1,0,0,12,483000,15800000,2415580,9726,97300,0.1437148,3638.852,1,40.01645,3.937898,56.04565,11.12248,13.08777,16.57761,14.69745,3.142858,13.42548,-1.939924,10.13935,2.944439,3.436915,4
5,85,13,4,3898,1029,18,28,231,1644,0,0,0,0,64000,409000,348607,2446.429,85069.45,0.1803752,5138.305,0,62.59124,1.703163,35.7056,9.5151,11.06664,12.92147,12.7617,1.360464,13.06394,-1.712716,10.25719,1.386294,2.755396,5
5,86,13,4,3898,1020,18,23,195,1641,0,0,0,1,63000,425000,348778,2324.363,80264.41,0.1670662,4982.503,0,62.15722,1.401584,36.44119,9.540566,11.05089,12.95984,12.76219,1.360464,13.08245,-1.789365,10.30305,1.386294,2.755396,5
5,87,13,4,3898,1036,18,25,207,1725,0,0,0,2,67000,561000,408050,2415.967,80610.02,0.1691498,5470.423,0,60.05797,1.449275,38.49275,9.566825,11.11245,13.23748,12.91914,1.360464,13.07435,-1.776971,10.38408,1.386294,2.755396,5
5,88,13,4,3898,1068,18,25,211,1711,0,0,0,3,71000,549000,433852,2350.275,81501.84,0.1627519,4993.536,0,62.41964,1.461134,36.11923,9.577816,11.17043,13.21585,12.98046,1.360464,13.12391,-1.815528,10.33143,1.386294,2.755396,5
5,89,13,4,3898,1145,19,26,214,1996,0,0,0,4,71000,530000,411811,2672.021,80673.57,0.1626444,6496.575,0,57.36473,1.302605,41.33266,9.706779,11.17043,13.18063,12.92832,1.360464,13.11436,-1.816189,10.59522,1.386294,2.755396,5
5,90,13,4,3898,1292,20,30,252,2181,0,0,0,5,72000,569000,400723,2799.743,82926.83,0.1528211,5250.932,0,59.23888,1.375516,39.3856,9.81577,11.18442,13.25164,12.90103,1.360464,13.2042,-1.878487,10.44465,1.386294,2.755396,5
5,91,13,4,3898,1403,20,30,235,2259,0,0,0,6,70000,627000,346494,2711.885,84213.69,0.1532528,4721.889,0,62.10713,1.328021,36.56485,9.781066,11.15625,13.3487,12.75562,1.360464,13.21678,-1.875666,10.33563,1.386294,2.755396,5
5,92,13,4,3898,1462,20,27,215,2336,0,0,0,7,71000,612000,338945,2618.834,81950.67,0.1407863,3891.605,0,62.58562,1.155822,36.25856,9.830997,11.17043,13.32449,12.73359,1.360464,13.27438,-1.960512,10.22709,1.386294,2.755396,5
5,93,13,4,3898,1079,19,28,201,2625,0,0,0,8,72000,603000,366781,2816.524,60932.91,0.1494673,6675.227,0,41.10476,1.066667,57.82857,9.843937,11.18442,13.30967,12.81252,1.360464,12.91821,-1.900678,10.70684,1.386294,2.755396,5
5,94,13,4,3898,1130,19,30,198,2616,0,0,0,9,70000,586000,341262,2710.881,61630.76,0.1570105,6183.641,0,43.19572,1.146789,55.65749,9.756472,11.15625,13.28108,12.74041,1.360464,12.88036,-1.851442,10.58111,1.386294,2.755396,5
5,95,13,4,3898,1100,13,24,157,2559,0,0,0,10,76000,583000,329691,2627.31,86874.12,0.1569469,6038.139,0,42.98554,0.9378663,56.07659,9.725564,11.23849,13.27594,12.70591,1.360464,13.22406,-1.851848,10.5577,1.386294,2.755396,5
5,96,13,4,3898,1082,13,15,98,2622,0,0,0,11,78000,524000,339930,2643.145,83901.98,0.1542956,6300.403,0,41.26621,0.5720824,58.16171,9.74861,11.26446,13.16925,12.7365,1.360464,13.20629,-1.868885,10.61725,1.386294,2.755396,5
5,97,13,4,3898,985,12,14,82,2463,0,0,0,12,77000,513000,300933,2463,82083.34,0.1707317,6000,0,39.99188,0.5684125,59.43971,9.576797,11.25156,13.14803,12.61464,1.360464,13.08315,-1.767662,10.46718,1.386294,2.755396,5
6,85,13,9,24167,2734,47,195,1696,4817,1,0,0,0,350000,5849000,252208,7168.155,86562.82,0.1710959,3696.742,1,56.75732,4.048163,39.19452,10.64293,12.76569,15.58178,12.43801,3.184988,13.13416,-1.765531,9.980739,2.197225,3.395118,6
6,86,13,9,24167,2807,46,206,1659,4855,1,0,0,1,349000,6021000,275946,6876.771,86433.06,0.1758799,3432.981,1,57.81668,4.243048,37.94027,10.57386,12.76283,15.61076,12.52796,3.184988,13.10508,-1.737954,9.879138,2.197225,3.395118,6
6,87,13,9,24167,2937,47,205,1655,5302,1,0,0,2,338000,5711000,315167,7425.771,87520.12,0.1734833,3980.54,1,55.39419,3.866466,40.73934,10.66439,12.7308,15.5579,12.66086,3.184988,13.1313,-1.751674,10.04085,2.197225,3.395118,6
6,88,13,9,24167,3061,53,206,1649,5448,1,0,0,3,347000,5959000,308940,7483.517,79333.41,0.1715992,3941.946,1,56.18576,3.781204,40.03304,10.68305,12.75708,15.60041,12.6409,3.184988,13.04401,-1.762594,10.04202,2.197225,3.395118,6
6,89,13,9,24167,3291,53,195,1645,5776,1,0,0,4,319000,5953000,322917,7732.263,83124.95,0.1586895,3841.599,1,56.97715,3.376039,39.64682,10.79396,12.67295,15.59941,12.68515,3.184988,13.16891,-1.840806,10.09445,2.197225,3.395118,6
6,90,13,9,24167,3581,55,193,1623,6059,1,0,0,5,315000,6492000,306333,7777.92,83580.35,0.1526516,3675.749,1,59.10216,3.185344,37.71249,10.83864,12.66033,15.68608,12.63243,3.184988,13.21316,-1.879597,10.08911,2.197225,3.395118,6
6,91,13,9,24167,3813,53,209,1623,6379,1,0,0,6,315000,7001000,274304,7657.863,86366.63,0.1545905,3908.193,1,59.77426,3.276376,36.94937,10.81046,12.66033,15.76156,12.52199,3.184988,13.23333,-1.866976,10.13781,2.197225,3.395118,6
6,92,13,9,24167,3910,53,233,1637,6615,1,0,0,7,314000,7082000,239672,7415.919,82705.81,0.1595667,4330.157,1,59.10809,3.522298,37.36961,10.74668,12.65715,15.77307,12.38703,3.184988,13.15834,-1.835293,10.20865,2.197225,3.395118,6
6,93,13,9,24167,4268,53,233,1638,6834,1,0,0,8,313000,8077000,236608,7332.618,86403.76,0.1526252,4185.985,1,62.45244,3.409424,34.13813,10.77986,12.65396,15.90453,12.37416,3.184988,13.24656,-1.87977,10.21927,2.197225,3.395118,6
6,94,13,9,24167,4367,53,255,1553,6808,1,0,0,9,312000,7756000,166392,7054.922,85384.7,0.1701537,3788.102,1,64.14513,3.745593,32.10928,10.63253,12.65076,15.86398,12.0221,3.184988,13.12598,-1.771053,10.01067,2.197225,3.395118,6
6,95,13,9,24167,4244,53,252,1555,6745,1,0,0,10,311000,7601000,166132,6925.051,82213.02,0.1663839,9867.671,1,62.92068,3.736101,33.34322,10.63636,12.64755,15.84379,12.02054,3.184988,13.11053,-1.793458,10.99048,2.197225,3.395118,6
6,96,13,9,24167,4402,55,238,1565,7129,1,0,0,11,315000,6444000,138574,7186.492,80681.82,0.1533031,10722.53,1,61.74779,3.338477,34.91373,10.7553,12.66033,15.67866,11.83916,3.184988,13.17361,-1.875338,11.15544,2.197225,3.395118,6
6,97,13,9,24167,4352,52,276,1555,7230,1,0,0,12,309000,7275000,165374,7230,83692.3,0.177492,11119.66,1,60.19364,3.817427,35.98893,10.61482,12.6411,15.79995,12.01596,3.184988,13.06373,-1.72883,11.0453,2.197225,3.395118,6
7,85,13,9,13810,2567,46,205,1779,4838,0,0,0,0,193000,5343000,205971,7199.405,83042.19,0.1714781,3419.805,0,53.05912,4.237288,42.70359,10.64505,12.17045,15.4913,12.23549,2.625393,13.0904,-1.7633,9.900639,2.197225,2.683509,7
7,86,13,9,13810,2684,47,234,1876,5211,0,0,0,1,189000,5440000,222042,7381.02,80887.23,0.1766763,3612.765,0,51.50643,4.490501,44.00307,10.6401,12.1495,15.50929,12.31062,2.625393,13.03425,-1.733436,9.925664,2.197225,2.683509,7
7,87,13,9,13810,2523,44,227,1833,5189,0,0,0,2,187000,5938000,197418,7267.507,80309.4,0.1734464,2988.597,0,48.62209,4.374639,47.00328,10.64306,12.13886,15.59688,12.19308,2.625393,13.04553,-1.751887,9.754447,2.197225,2.683509,7
7,88,13,9,13810,2579,43,232,1859,5356,0,0,0,3,187000,5400000,261983,7357.143,82385.64,0.1714262,3058.512,0,48.15161,4.331591,47.5168,10.66703,12.13886,15.50191,12.47604,2.625393,13.08277,-1.763602,9.789286,2.197225,2.683509,7
7,89,13,9,13810,2876,45,220,1857,5799,0,0,0,4,182000,4788000,357420,7763.052,85557.05,0.1585952,3095.358,0,49.59476,3.793757,46.61148,10.79853,12.11176,15.38162,12.78667,2.625393,13.19834,-1.8414,9.879059,2.197225,2.683509,7
7,90,13,9,13810,3069,45,234,1961,6142,0,0,0,5,183000,4769000,312594,7884.467,87548.14,0.1531796,3298.114,0,49.96744,3.809834,46.22273,10.84879,12.11724,15.37765,12.65266,2.625393,13.25609,-1.876145,9.97725,2.197225,2.683509,7
7,91,13,9,13810,3412,46,258,2002,6470,0,0,0,6,183000,5232000,216820,7767.107,89044.31,0.1547072,2882.8,0,52.7357,3.987635,43.27666,10.82387,12.11724,15.4703,12.28682,2.625393,13.26311,-1.866221,9.832738,2.197225,2.683509,7
7,92,13,9,13810,3654,48,302,2125,6797,0,0,0,7,182000,5449000,177145,7619.955,85341.93,0.1593247,2112.054,0,53.75901,4.443137,41.79785,10.77534,12.11176,15.51094,12.08472,2.625393,13.19123,-1.836811,9.492227,2.197225,2.683509,7
7,93,13,9,13810,3202,41,327,2253,6512,0,0,0,8,180000,5425000,156709,6987.125,83795.66,0.1557294,3045.332,0,49.17076,5.021499,45.80774,10.71146,12.10071,15.50653,11.96215,2.625393,13.19577,-1.859635,9.881001,2.197225,2.683509,7
7,94,13,9,13810,3218,40,322,2068,6514,0,0,0,9,179000,5383000,66473,6750.259,83367.88,0.1613534,2585.458,0,49.40129,4.943199,45.65551,10.64149,12.09514,15.49876,11.10455,2.625393,13.15518,-1.824159,9.681816,2.197225,2.683509,7
7,95,13,9,13810,2967,37,328,2036,6210,0,0,0,10,177000,5378000,79631,6375.77,82329.77,0.1654006,2510.749,0,47.77778,5.281804,46.94042,10.55965,12.08391,15.49783,11.28516,2.625393,13.11787,-1.799385,9.627722,2.197225,2.683509,7
7,96,13,9,13589,3039,35,268,1881,6425,0,0,0,11,178000,5298000,46166,6476.814,87528.8,0.1436264,2636.867,0,47.29961,4.171206,48.52918,10.71652,12.08954,15.48284,10.74,2.609261,13.32026,-1.94054,9.817886,2.197225,2.683509,7
7,97,13,9,13589,3007,35,352,1977,6625,0,0,0,12,177000,5156000,26163,6625,85914.29,0.1780476,2784.314,0,45.38868,5.313208,49.29811,10.52431,12.08391,15.45567,10.1721,2.609261,13.08681,-1.725705,9.657461,2.197225,2.683509,7
8,85,13,16,20212,1690,27,74,550,3207,1,0,0,0,239000,2666000,25297,4772.321,93143.74,0.2002165,6390.838,1,52.69722,2.307452,44.99532,10.07894,12.38422,14.79609,10.13844,3.006276,13.05026,-1.608356,10.37098,2.772589,3.345108,8
8,86,13,16,20212,1712,28,78,561,3107,1,0,0,1,240000,2665000,18309,4400.85,86604.62,0.1969369,5551.902,1,55.10138,2.51046,42.38816,10.01443,12.38839,14.79571,9.815148,3.006276,12.99398,-1.624872,10.24677,2.772589,3.345108,8
8,87,13,16,20212,1766,29,84,589,3344,1,0,0,2,257000,3142000,34597,4683.474,85289.29,0.1997403,6227.491,1,52.811,2.511962,44.67703,10.06253,12.45683,14.96037,10.45152,3.006276,12.96454,-1.610737,10.34747,2.772589,3.345108,8
8,88,13,16,20212,1929,30,83,591,3806,1,0,0,3,270000,2781000,21695,5228.022,88324.18,0.192912,7334.184,1,50.68313,2.180767,47.1361,10.20731,12.50618,14.83832,9.984838,3.006276,13.03429,-1.645521,10.54582,2.772589,3.345108,8
8,89,13,16,20212,2028,31,82,571,4025,1,0,0,4,270000,2862000,24630,5388.22,87576.12,0.1922459,7324.537,1,50.38509,2.037267,47.57764,10.24095,12.50618,14.86703,10.11172,3.006276,13.02924,-1.64898,10.54797,2.772589,3.345108,8
8,90,13,16,20212,2269,32,83,585,4537,1,0,0,5,269000,3087000,53276,5824.134,91022.15,0.1821314,8013.938,1,50.01102,1.829403,48.15958,10.37279,12.50247,14.94271,10.88324,3.006276,13.12189,-1.703027,10.69196,2.772589,3.345108,8
8,91,13,16,20212,2518,32,91,606,4841,1,0,0,6,263000,4596000,32950,5811.524,94462.78,0.1802701,5749.939,1,52.01405,1.879777,46.10618,10.3809,12.47991,15.3407,10.40275,3.006276,13.16926,-1.713299,10.37024,2.772589,3.345108,8
8,92,13,16,20212,2593,31,95,656,4986,1,0,0,7,236000,5116000,6668,5589.686,93772.6,0.162351,5528.397,1,52.00562,1.905335,46.08905,10.44667,12.37159,15.44788,8.805076,3.006276,13.26662,-1.817995,10.43565,2.772589,3.345108,8
8,93,13,16,20212,2618,30,119,784,4770,1,0,0,8,269000,4827000,24753,5118.026,93633.77,0.1628602,4680.967,1,54.8847,2.494759,42.62054,10.35539,12.50247,15.38974,10.1167,3.006276,13.26201,-1.814863,10.26612,2.772589,3.345108,8
8,94,13,16,20212,2610,30,121,773,4669,1,0,0,9,272000,4873000,18934,4838.342,90155.45,0.1622104,4309.636,1,55.90062,2.591561,41.50782,10.30319,12.51356,15.39922,9.848715,3.006276,13.22815,-1.818861,10.18747,2.772589,3.345108,8
8,95,13,16,20212,2540,29,127,763,4498,1,0,0,10,267000,4764000,10736,4618.07,89924.24,0.1708914,4034.071,1,56.46954,2.823477,40.70698,10.20446,12.495,15.3766,9.281358,3.006276,13.17345,-1.766727,10.06926,2.772589,3.345108,8
8,96,13,16,20388,2515,28,129,823,4688,1,0,0,11,273000,4786000,944,4725.807,90545.8,0.1580077,4347.013,1,53.64761,2.751707,43.60069,10.30591,12.51723,15.38121,6.850126,3.014946,13.25872,-1.845112,10.22236,2.772589,3.345108,8
8,97,13,16,20388,2513,28,124,795,4730,1,0,0,12,272000,4648000,3026,4730,89750,0.1559749,4415.612,1,53.12896,2.621564,44.24947,10.31974,12.51356,15.35195,8.014997,3.014946,13.26284,-1.85806,10.25096,2.772589,3.345108,8
9,85,13,39,84030,7111,127,345,2890,11310,1,0,0,0,783000,12200000,1289466,16830.36,83321.62,0.1776446,5900.328,1,62.87356,3.050398,34.07604,11.45891,13.57089,16.32014,14.06974,4.431174,13.05843,-1.72797,10.41073,3.663562,2.732003,9
9,86,13,39,84030,7478,130,477,3434,11819,1,0,0,1,830000,12700000,1254325,16740.79,81477.45,0.1967494,2971.275,1,63.271,4.035874,32.69312,11.35143,13.62918,16.35388,14.04211,4.431174,12.93391,-1.625824,9.622571,3.663562,2.732003,9
9,87,13,39,84030,7702,135,495,3929,12928,1,0,0,2,876000,14200000,1383996,18106.44,79904.55,0.1764513,3597.204,1,59.57611,3.828898,36.59499,11.53873,13.68312,16.46713,14.14049,4.431174,13.0233,-1.73471,9.922622,3.663562,2.732003,9
9,88,13,40,84030,8084,135,519,4267,15703,1,0,0,3,892000,13900000,1307334,21570.05,82254.78,0.1670757,5294.651,1,51.48061,3.305101,45.21429,11.76837,13.70122,16.45034,14.0835,4.431174,13.10688,-1.789308,10.36376,3.688879,2.732003,9
